acl_name,conformer_definition,nodes,deviant_properties,flag
['OSPF_TO_EIGRP'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '10.44.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.250.44.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '10.251.44.0/24', 'lengthRange': '24-25'}, {'action': 'PERMIT', 'ipWildcard': '10.249.44.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '10.249.45.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '149.96.5.16/28', 'lengthRange': '28-28'}, {'action': 'PERMIT', 'ipWildcard': '10.248.2.128/25', 'lengthRange': '25-25'}, {'action': 'PERMIT', 'ipWildcard': '10.252.64.0/20', 'lengthRange': '20-20'}, {'action': 'PERMIT', 'ipWildcard': '10.43.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.250.43.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '10.251.43.0/24', 'lengthRange': '24-25'}, {'action': 'PERMIT', 'ipWildcard': '10.249.43.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '10.252.65.128/25', 'lengthRange': '25-25'}, {'action': 'PERMIT', 'ipWildcard': '10.252.64.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '10.248.2.0/24', 'lengthRange': '24-25'}, {'action': 'PERMIT', 'ipWildcard': '10.248.6.0/24', 'lengthRange': '24-25'}, {'action': 'PERMIT', 'ipWildcard': '10.45.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.251.45.0/24', 'lengthRange': '24-25'}, {'action': 'PERMIT', 'ipWildcard': '10.246.56.0/23', 'lengthRange': '23-23'}, {'action': 'PERMIT', 'ipWildcard': '10.246.22.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '172.23.0.0/19', 'lengthRange': '19-19'}, {'action': 'PERMIT', 'ipWildcard': '10.87.0.0/16', 'lengthRange': '16-16'}]}",['dci-001a.ytz0'],"[['lines=lengthRange', '19-19']]",Needs inspection
['MCOR-ADVERTISE-OUT'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '10.246.22.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '10.246.56.0/23', 'lengthRange': '23-23'}, {'action': 'PERMIT', 'ipWildcard': '172.23.0.0/19', 'lengthRange': '19-19'}]}",['mcor-001b.ytz0'],"[['lines=lengthRange', '19-19']]",Needs inspection
['DNA4-MGMT'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '10.246.0.0/15', 'lengthRange': '15-15'}, {'action': 'PERMIT', 'ipWildcard': '172.16.0.0/12', 'lengthRange': '12-12'}]}",['bor-001b.ytz0~logical_system~bor'],"[['lines=lengthRange', '15-15']]",Needs inspection
['INFRA-DNA4'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '10.242.0.0/15', 'lengthRange': '15-15'}]}",['cor-002b.ytz0'],"[['lines=lengthRange', '15-15']]",Needs inspection
