acl_name,conformer_definition,nodes,deviant_properties,flag
['PROLEXIC-OUTv1'],"{'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ExitReject'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnFalse'}]}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchPrefixSet', 'prefix': {'class': 'org.batfish.datamodel.routing_policy.expr.DestinationNetwork'}, 'prefixSet': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedPrefixSet', 'name': 'VISA-ALL-PREFIXES'}}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ExitReject'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnFalse'}]}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchCommunitySet', 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedCommunitySet', 'name': 'LOCAL-PROLEXIC-ADVERTISEMENT'}}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchCommunitySet', 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedCommunitySet', 'name': 'LOCAL-CYBS-PREFIX'}}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.PrependAsPath', 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.MultipliedAs', 'expr': {'as': 18730, 'class': 'org.batfish.datamodel.routing_policy.expr.ExplicitAs'}, 'number': {'class': 'org.batfish.datamodel.routing_policy.expr.LiteralInt', 'value': 1}}}]}, {'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'SetDefaultActionAccept'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'SetLocalDefaultActionAccept'}]}]}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchPrefixSet', 'prefix': {'class': 'org.batfish.datamodel.routing_policy.expr.DestinationNetwork'}, 'prefixSet': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedPrefixSet', 'name': 'LESS-SPECIFIC-PREFIXES'}}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchPrefixSet', 'prefix': {'class': 'org.batfish.datamodel.routing_policy.expr.DestinationNetwork'}, 'prefixSet': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedPrefixSet', 'name': 'CYBS-ALL-PREFIXES'}}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.PrependAsPath', 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.MultipliedAs', 'expr': {'as': 18730, 'class': 'org.batfish.datamodel.routing_policy.expr.ExplicitAs'}, 'number': {'class': 'org.batfish.datamodel.routing_policy.expr.LiteralInt', 'value': 1}}}]}, {'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'SetDefaultActionAccept'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'SetLocalDefaultActionAccept'}]}]}]}, {'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'DefaultAction'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallStatementContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'Return'}]}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnLocalDefaultAction'}]}]}",['rt99pn30sjc'],"[['statements=trueStatements=falseStatements=class', 'org.batfish.datamodel.routing_policy.statement.If'], ['statements=trueStatements=trueStatements=class', 'org.batfish.datamodel.routing_policy.statement.If'], ['statements=trueStatements=trueStatements=trueStatements=class', 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement']]",Needs inspection
['PROLEXIC-OUT-HIGHPREFv1'],"{'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ExitReject'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnFalse'}]}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchPrefixSet', 'prefix': {'class': 'org.batfish.datamodel.routing_policy.expr.DestinationNetwork'}, 'prefixSet': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedPrefixSet', 'name': 'VISA-ALL-PREFIXES'}}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ExitReject'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnFalse'}]}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchCommunitySet', 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedCommunitySet', 'name': 'LOCAL-PROLEXIC-ADVERTISEMENT'}}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchCommunitySet', 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedCommunitySet', 'name': 'LOCAL-CYBS-PREFIX'}}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.PrependAsPath', 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.MultipliedAs', 'expr': {'as': 18730, 'class': 'org.batfish.datamodel.routing_policy.expr.ExplicitAs'}, 'number': {'class': 'org.batfish.datamodel.routing_policy.expr.LiteralInt', 'value': 1}}}]}, {'class': 'org.batfish.datamodel.routing_policy.statement.BufferedStatement', 'statement': {'class': 'org.batfish.datamodel.routing_policy.statement.SetCommunity', 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedCommunitySet', 'name': 'PROLEXIC-HIGHPREF'}}}, {'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'SetDefaultActionAccept'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'SetLocalDefaultActionAccept'}]}]}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchPrefixSet', 'prefix': {'class': 'org.batfish.datamodel.routing_policy.expr.DestinationNetwork'}, 'prefixSet': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedPrefixSet', 'name': 'LESS-SPECIFIC-PREFIXES'}}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchPrefixSet', 'prefix': {'class': 'org.batfish.datamodel.routing_policy.expr.DestinationNetwork'}, 'prefixSet': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedPrefixSet', 'name': 'CYBS-ALL-PREFIXES'}}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.PrependAsPath', 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.MultipliedAs', 'expr': {'as': 18730, 'class': 'org.batfish.datamodel.routing_policy.expr.ExplicitAs'}, 'number': {'class': 'org.batfish.datamodel.routing_policy.expr.LiteralInt', 'value': 1}}}]}, {'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'SetDefaultActionAccept'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'SetLocalDefaultActionAccept'}]}]}]}, {'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'DefaultAction'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallStatementContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'Return'}]}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnLocalDefaultAction'}]}]}",['rt99pn30sjc'],"[['statements=trueStatements=falseStatements=class', 'org.batfish.datamodel.routing_policy.statement.If'], ['statements=trueStatements=trueStatements=class', 'org.batfish.datamodel.routing_policy.statement.If'], ['statements=trueStatements=trueStatements=trueStatements=class', 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement']]",Needs inspection
['MAJOR-TO-PEER-POLICY-V1-IN'],"{'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchPrefixSet', 'prefix': {'class': 'org.batfish.datamodel.routing_policy.expr.DestinationNetwork'}, 'prefixSet': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedPrefixSet', 'name': 'OPENDNS-PREFIXES'}}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.BufferedStatement', 'statement': {'class': 'org.batfish.datamodel.routing_policy.statement.SetWeight', 'weight': {'class': 'org.batfish.datamodel.routing_policy.expr.LiteralInt', 'value': 150}}}, {'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'SetDefaultActionAccept'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'SetLocalDefaultActionAccept'}]}]}, {'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'SetDefaultActionAccept'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'SetLocalDefaultActionAccept'}]}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.Disjunction', 'disjuncts': [{'class': 'org.batfish.datamodel.routing_policy.expr.MatchPrefixSet', 'prefix': {'class': 'org.batfish.datamodel.routing_policy.expr.DestinationNetwork'}, 'prefixSet': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedPrefixSet', 'name': 'VISA-ALL-PREFIXES'}}, {'class': 'org.batfish.datamodel.routing_policy.expr.MatchPrefixSet', 'prefix': {'class': 'org.batfish.datamodel.routing_policy.expr.DestinationNetwork'}, 'prefixSet': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedPrefixSet', 'name': 'CYBS-ALL-PREFIXES'}}]}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ExitReject'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnFalse'}]}]}, {'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'DefaultAction'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallStatementContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'Return'}]}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnLocalDefaultAction'}]}]}",['rt93pn09sin'],"[['statements=falseStatements=guard=prefixSet=name', 'OPENDNS-PREFIXES'], ['statements=falseStatements=trueStatements=statement=class', 'org.batfish.datamodel.routing_policy.statement.SetWeight'], ['statements=guard=class', 'org.batfish.datamodel.routing_policy.expr.Disjunction']]",Needs inspection
['bgp-to-ospf'],"{'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'comment': '~RMCLAUSE~bgp-to-ospf~10~', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnLocalDefaultAction'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.Disjunction', 'disjuncts': [{'class': 'org.batfish.datamodel.routing_policy.expr.MatchTag', 'cmp': 'EQ', 'tag': {'class': 'org.batfish.datamodel.routing_policy.expr.LiteralInt', 'value': 8035}}, {'class': 'org.batfish.datamodel.routing_policy.expr.MatchTag', 'cmp': 'EQ', 'tag': {'class': 'org.batfish.datamodel.routing_policy.expr.LiteralInt', 'value': 65000}}]}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnTrue'}]}]}",['rt42pn12'],"[['statements=guard=class', 'org.batfish.datamodel.routing_policy.expr.Disjunction']]",Needs inspection
"['VISA-TO-GOOGLE-POLICY-OUT', 'VISA-TO-FB-POLICY-OUT', 'VISA-TO-SOFTLAYER-POLICY-OUT']","{'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ExitReject'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnFalse'}]}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchPrefixSet', 'prefix': {'class': 'org.batfish.datamodel.routing_policy.expr.DestinationNetwork'}, 'prefixSet': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedPrefixSet', 'name': 'SIN-LOCAL'}}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.BufferedStatement', 'statement': {'class': 'org.batfish.datamodel.routing_policy.statement.DeleteCommunity', 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedCommunitySet', 'name': 'LOCAL-NOPREPEND'}}}, {'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'SetDefaultActionAccept'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'SetLocalDefaultActionAccept'}]}]}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchCommunitySet', 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedCommunitySet', 'name': 'LOCAL-PROLEXIC-ADVERTISEMENT'}}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ExitReject'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnFalse'}]}]}, {'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'DefaultAction'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallStatementContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'Return'}]}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnLocalDefaultAction'}]}]}",['rt99pn41sin'],"[['statements=falseStatements=guard=prefixSet=name', 'SIN-LOCAL'], ['statements=falseStatements=trueStatements=class', 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement'], ['statements=trueStatements=class', 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement']]",Needs inspection
['VISA-TO-GOOGLE-POLICY-OUT'],"{'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ExitReject'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnFalse'}]}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchPrefixSet', 'prefix': {'class': 'org.batfish.datamodel.routing_policy.expr.DestinationNetwork'}, 'prefixSet': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedPrefixSet', 'name': 'VISA-US-PREFIXES'}}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.BufferedStatement', 'statement': {'class': 'org.batfish.datamodel.routing_policy.statement.SetCommunity', 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedCommunitySet', 'name': 'netconanRemoved102'}}}, {'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'SetDefaultActionAccept'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'SetLocalDefaultActionAccept'}]}, {'class': 'org.batfish.datamodel.routing_policy.statement.BufferedStatement', 'statement': {'class': 'org.batfish.datamodel.routing_policy.statement.DeleteCommunity', 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedCommunitySet', 'name': 'LOCAL-NOPREPEND'}}}, {'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'SetDefaultActionAccept'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'SetLocalDefaultActionAccept'}]}, {'class': 'org.batfish.datamodel.routing_policy.statement.BufferedStatement', 'statement': {'class': 'org.batfish.datamodel.routing_policy.statement.DeleteCommunity', 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedCommunitySet', 'name': 'LOCAL-HIGHLOCPREF'}}}, {'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'SetDefaultActionAccept'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'SetLocalDefaultActionAccept'}]}, {'class': 'org.batfish.datamodel.routing_policy.statement.BufferedStatement', 'statement': {'class': 'org.batfish.datamodel.routing_policy.statement.DeleteCommunity', 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedCommunitySet', 'name': 'LOCAL-CYBS-PREFIX'}}}, {'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'SetDefaultActionAccept'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'SetLocalDefaultActionAccept'}]}]}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.MatchCommunitySet', 'expr': {'class': 'org.batfish.datamodel.routing_policy.expr.NamedCommunitySet', 'name': 'LOCAL-PROLEXIC-ADVERTISEMENT'}}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ExitReject'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnFalse'}]}]}, {'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'DefaultAction'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallStatementContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'Return'}]}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnLocalDefaultAction'}]}]}",['rt99pn38lon'],"[['statements=falseStatements=trueStatements=class', 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement'], ['statements=falseStatements=trueStatements=statement=class', 'org.batfish.datamodel.routing_policy.statement.SetCommunity'], ['statements=falseStatements=trueStatements=statement=expr=name', 'netconanRemoved102'], ['statements=trueStatements=class', 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement']]",Needs inspection
['ADD-PATH'],"{'statements': [{'class': 'org.batfish.datamodel.routing_policy.statement.BufferedStatement', 'statement': {'class': 'org.batfish.datamodel.routing_policy.statement.Comment', 'comment': ""NOP: unsupported route-policy statement: 'set path-selection backup 1 install multipath-protect advertise\n'""}}, {'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'SetDefaultActionAccept'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'SetLocalDefaultActionAccept'}]}, {'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.If', 'falseStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'DefaultAction'}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallStatementContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'Return'}]}], 'guard': {'class': 'org.batfish.datamodel.routing_policy.expr.BooleanExprs$StaticBooleanExpr', 'type': 'CallExprContext'}, 'trueStatements': [{'class': 'org.batfish.datamodel.routing_policy.statement.Statements$StaticStatement', 'type': 'ReturnLocalDefaultAction'}]}]}",['rt99pn30sjc'],"[['statements=class', 'org.batfish.datamodel.routing_policy.statement.BufferedStatement']]",Needs inspection
