acl_name,conformer_definition,nodes,deviant_properties,flag
['VISA-ALL-PREFIXES'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '209.203.152.0/23', 'lengthRange': '23-32'}, {'action': 'PERMIT', 'ipWildcard': '209.111.0.0/17', 'lengthRange': '17-32'}, {'action': 'PERMIT', 'ipWildcard': '209.77.128.0/17', 'lengthRange': '17-32'}]}",['rt73pn05m5'],"[['lines=lengthRange', '23-32']]",Needs inspection
['VISA-ALL-PREFIXES'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '209.203.152.0/23', 'lengthRange': '23-24'}, {'action': 'PERMIT', 'ipWildcard': '209.111.0.0/17', 'lengthRange': '17-24'}, {'action': 'PERMIT', 'ipWildcard': '209.77.128.0/17', 'lengthRange': '17-24'}, {'action': 'PERMIT', 'ipWildcard': '33.131.128.0/20', 'lengthRange': '20-24'}, {'action': 'PERMIT', 'ipWildcard': '34.192.94.0/23', 'lengthRange': '23-24'}]}",['rt99pn41sin'],"[['lines=lengthRange', '20-24']]",Needs inspection
['PAYPAL-PREFIX'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '34.163.48.0/21', 'lengthRange': '21-25'}, {'action': 'PERMIT', 'ipWildcard': '34.163.56.0/22', 'lengthRange': '22-25'}, {'action': 'PERMIT', 'ipWildcard': '33.235.164.0/22', 'lengthRange': '22-25'}, {'action': 'PERMIT', 'ipWildcard': '52.65.182.0/23', 'lengthRange': '23-25'}, {'action': 'PERMIT', 'ipWildcard': '146.179.64.0/20', 'lengthRange': '20-25'}, {'action': 'PERMIT', 'ipWildcard': '136.216.60.0/22', 'lengthRange': '22-25'}, {'action': 'PERMIT', 'ipWildcard': '209.143.202.0/23', 'lengthRange': '23-25'}, {'action': 'PERMIT', 'ipWildcard': '214.119.95.0/24', 'lengthRange': '24-25'}, {'action': 'PERMIT', 'ipWildcard': '218.162.222.0/23', 'lengthRange': '23-25'}, {'action': 'PERMIT', 'ipWildcard': '209.121.51.0/24', 'lengthRange': '24-25'}, {'action': 'PERMIT', 'ipWildcard': '203.184.104.0/22', 'lengthRange': '22-25'}]}",['rt99pn26ash'],"[['lines=lengthRange', '21-25'], ['lines=lengthRange', '20-25']]",Needs inspection
['FROM_CHINATELECOM1'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '116.32.0.0/12', 'lengthRange': '12-24'}, {'action': 'PERMIT', 'ipWildcard': '116.192.0.0/12', 'lengthRange': '12-24'}, {'action': 'PERMIT', 'ipWildcard': '65.96.0.0/12', 'lengthRange': '12-24'}, {'action': 'PERMIT', 'ipWildcard': '65.65.0.0/16', 'lengthRange': '16-24'}, {'action': 'PERMIT', 'ipWildcard': '65.77.224.0/19', 'lengthRange': '19-24'}, {'action': 'PERMIT', 'ipWildcard': '64.182.0.0/18', 'lengthRange': '18-24'}, {'action': 'PERMIT', 'ipWildcard': '68.50.0.0/19', 'lengthRange': '19-24'}, {'action': 'PERMIT', 'ipWildcard': '69.229.128.0/17', 'lengthRange': '17-24'}, {'action': 'PERMIT', 'ipWildcard': '5.137.64.0/20', 'lengthRange': '20-24'}, {'action': 'PERMIT', 'ipWildcard': '15.213.0.0/16', 'lengthRange': '16-24'}, {'action': 'PERMIT', 'ipWildcard': '27.71.160.0/19', 'lengthRange': '19-24'}, {'action': 'PERMIT', 'ipWildcard': '27.164.0.0/14', 'lengthRange': '14-24'}, {'action': 'PERMIT', 'ipWildcard': '24.35.0.0/18', 'lengthRange': '18-24'}, {'action': 'PERMIT', 'ipWildcard': '31.185.192.0/22', 'lengthRange': '22-24'}, {'action': 'PERMIT', 'ipWildcard': '31.3.192.0/18', 'lengthRange': '18-24'}, {'action': 'PERMIT', 'ipWildcard': '31.63.0.0/16', 'lengthRange': '16-24'}, {'action': 'PERMIT', 'ipWildcard': '31.38.224.0/19', 'lengthRange': '19-24'}, {'action': 'PERMIT', 'ipWildcard': '30.134.0.0/19', 'lengthRange': '19-24'}, {'action': 'PERMIT', 'ipWildcard': '29.189.32.0/21', 'lengthRange': '21-24'}, {'action': 'PERMIT', 'ipWildcard': '29.189.40.0/21', 'lengthRange': '21-24'}, {'action': 'PERMIT', 'ipWildcard': '28.238.96.0/20', 'lengthRange': '20-24'}, {'action': 'PERMIT', 'ipWildcard': '19.168.0.0/13', 'lengthRange': '13-24'}, {'action': 'PERMIT', 'ipWildcard': '19.132.0.0/14', 'lengthRange': '14-24'}, {'action': 'PERMIT', 'ipWildcard': '16.179.64.0/18', 'lengthRange': '18-24'}, {'action': 'PERMIT', 'ipWildcard': '23.50.0.0/16', 'lengthRange': '16-24'}, {'action': 'PERMIT', 'ipWildcard': '22.136.0.0/13', 'lengthRange': '13-24'}, {'action': 'PERMIT', 'ipWildcard': '135.51.160.0/19', 'lengthRange': '19-24'}, {'action': 'PERMIT', 'ipWildcard': '135.56.0.0/16', 'lengthRange': '16-24'}, {'action': 'PERMIT', 'ipWildcard': '135.0.0.0/13', 'lengthRange': '13-24'}, {'action': 'PERMIT', 'ipWildcard': '133.198.0.0/16', 'lengthRange': '16-24'}, {'action': 'PERMIT', 'ipWildcard': '221.162.221.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '216.22.208.0/22', 'lengthRange': '22-24'}, {'action': 'PERMIT', 'ipWildcard': '201.9.208.0/20', 'lengthRange': '20-24'}, {'action': 'PERMIT', 'ipWildcard': '201.9.192.0/20', 'lengthRange': '20-24'}, {'action': 'PERMIT', 'ipWildcard': '201.89.96.0/19', 'lengthRange': '19-24'}, {'action': 'PERMIT', 'ipWildcard': '200.159.45.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '200.152.72.0/21', 'lengthRange': '21-24'}, {'action': 'PERMIT', 'ipWildcard': '195.180.0.0/14', 'lengthRange': '14-24'}, {'action': 'PERMIT', 'ipWildcard': '195.254.0.0/16', 'lengthRange': '16-24'}, {'action': 'PERMIT', 'ipWildcard': '194.210.0.0/15', 'lengthRange': '15-24'}, {'action': 'PERMIT', 'ipWildcard': '198.247.0.0/16', 'lengthRange': '16-24'}, {'action': 'PERMIT', 'ipWildcard': '27.52.72.0/21', 'lengthRange': '21-24'}, {'action': 'PERMIT', 'ipWildcard': '220.225.208.0/20', 'lengthRange': '20-24'}, {'action': 'PERMIT', 'ipWildcard': '195.212.192.0/20', 'lengthRange': '20-24'}, {'action': 'PERMIT', 'ipWildcard': '23.112.132.0/22', 'lengthRange': '22-24'}, {'action': 'PERMIT', 'ipWildcard': '28.28.152.0/21', 'lengthRange': '21-24'}, {'action': 'PERMIT', 'ipWildcard': '200.146.32.0/19', 'lengthRange': '19-24'}, {'action': 'PERMIT', 'ipWildcard': '94.123.224.0/19', 'lengthRange': '19-24'}, {'action': 'PERMIT', 'ipWildcard': '14.65.192.0/18', 'lengthRange': '18-24'}, {'action': 'PERMIT', 'ipWildcard': '220.225.216.0/21', 'lengthRange': '21-24'}, {'action': 'PERMIT', 'ipWildcard': '185.241.128.0/19', 'lengthRange': '19-24'}, {'action': 'PERMIT', 'ipWildcard': '10.243.160.0/20', 'lengthRange': '20-24'}, {'action': 'PERMIT', 'ipWildcard': '10.243.224.0/19', 'lengthRange': '19-24'}, {'action': 'PERMIT', 'ipWildcard': '15.213.64.0/20', 'lengthRange': '20-24'}, {'action': 'PERMIT', 'ipWildcard': '10.243.208.0/22', 'lengthRange': '22-24'}, {'action': 'PERMIT', 'ipWildcard': '28.239.224.0/19', 'lengthRange': '19-24'}, {'action': 'PERMIT', 'ipWildcard': '200.152.128.0/18', 'lengthRange': '18-24'}, {'action': 'PERMIT', 'ipWildcard': '10.214.32.0/19', 'lengthRange': '19-24'}]}",['rt99pn41sin'],"[['lines=lengthRange', '17-24'], ['lines=lengthRange', '15-24']]",Needs inspection
