acl_name,conformer_definition,nodes,deviant_properties,flag
['OUT_ATT_MPLS'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '10.15.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.15.240.17', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '10.15.240.18', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '10.121.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.8.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.61.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.62.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.77.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.15.240.3', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '10.15.240.1', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '10.15.240.4', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '10.15.240.2', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '10.164.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.125.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.123.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.126.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.0.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.1.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.11.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.168.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.194.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.193.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.199.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.218.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.207.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.208.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.200.225.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '10.200.127.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '10.200.126.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '10.200.11.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '10.200.10.0/24', 'lengthRange': '24-24'}]}",['rtredge01-sjc4'],"[['lines=ipWildcard', '10.15.240.17'], ['lines=ipWildcard', '10.15.240.18'], ['lines=ipWildcard', '10.15.240.3'], ['lines=ipWildcard', '10.15.240.1'], ['lines=ipWildcard', '10.15.240.4']]",Needs inspection
['TO_DAL20'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '10.15.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.15.241.56/30', 'lengthRange': '30-30'}, {'action': 'PERMIT', 'ipWildcard': '10.15.241.68/30', 'lengthRange': '30-30'}, {'action': 'PERMIT', 'ipWildcard': '10.15.240.2', 'lengthRange': '32-32'}]}",['rtredge01-sjc4'],"[['lines=lengthRange', '30-30']]",Needs inspection
['TO_AMS20_P2P'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '10.15.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.15.241.56/30', 'lengthRange': '30-30'}, {'action': 'PERMIT', 'ipWildcard': '10.15.241.68/30', 'lengthRange': '30-30'}]}",['rtredge01-sjc4'],"[['lines=lengthRange', '30-30']]",Needs inspection
['TO_SAN1'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '10.15.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.162.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.15.240.2', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '10.15.241.56/30', 'lengthRange': '30-30'}, {'action': 'PERMIT', 'ipWildcard': '10.15.241.68/30', 'lengthRange': '30-30'}]}",['rtredge01-sjc4'],"[['lines=ipWildcard', '10.162.0.0/16'], ['lines=lengthRange', '30-30']]",Needs inspection
"['SIN20_DEFAULT_ROUTE', 'DEFAULT', 'DEFAULT_ROUTE']","{'lines': [{'action': 'PERMIT', 'ipWildcard': '0.0.0.0/0', 'lengthRange': '0-0'}]}",['rtrborder01-hyd11'],"[['lines=lengthRange', '0-0']]",Needs inspection
['TO_SAN1'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '10.15.240.2', 'lengthRange': '32-32'}, {'action': 'PERMIT', 'ipWildcard': '10.15.241.56/30', 'lengthRange': '30-30'}, {'action': 'PERMIT', 'ipWildcard': '10.15.241.68/30', 'lengthRange': '30-30'}]}",['rtredge01-san1'],"[['lines=lengthRange', '32-32']]",Needs inspection
