acl_name,conformer_definition,nodes,deviant_properties,flag
['OSPF_TO_EIGRP'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '10.46.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.250.46.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '10.251.46.0/24', 'lengthRange': '24-25'}, {'action': 'PERMIT', 'ipWildcard': '10.249.46.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '10.249.47.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '149.96.6.16/28', 'lengthRange': '28-28'}, {'action': 'PERMIT', 'ipWildcard': '10.48.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.248.3.0/24', 'lengthRange': '24-25'}, {'action': 'PERMIT', 'ipWildcard': '10.248.7.0/24', 'lengthRange': '24-25'}, {'action': 'PERMIT', 'ipWildcard': '10.252.81.128/25', 'lengthRange': '25-25'}, {'action': 'PERMIT', 'ipWildcard': '10.252.80.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '10.252.81.0/25', 'lengthRange': '25-25'}, {'action': 'PERMIT', 'ipWildcard': '10.252.82.0/26', 'lengthRange': '26-26'}, {'action': 'PERMIT', 'ipWildcard': '10.252.85.128/25', 'lengthRange': '25-25'}, {'action': 'PERMIT', 'ipWildcard': '10.252.84.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '10.252.85.0/25', 'lengthRange': '25-25'}, {'action': 'PERMIT', 'ipWildcard': '10.252.86.0/26', 'lengthRange': '26-26'}, {'action': 'PERMIT', 'ipWildcard': '10.251.48.0/24', 'lengthRange': '24-25'}, {'action': 'PERMIT', 'ipWildcard': '10.47.0.0/16', 'lengthRange': '16-16'}, {'action': 'PERMIT', 'ipWildcard': '10.251.47.0/24', 'lengthRange': '24-25'}, {'action': 'PERMIT', 'ipWildcard': '10.246.64.0/23', 'lengthRange': '23-23'}, {'action': 'PERMIT', 'ipWildcard': '10.246.23.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '172.22.0.0/19', 'lengthRange': '19-19'}, {'action': 'PERMIT', 'ipWildcard': '10.88.0.0/16', 'lengthRange': '16-16'}]}",['dci-001a.ycg0'],"[['lines=lengthRange', '19-19']]",Needs inspection
['MCOR-ADVERTISE-OUT'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '10.246.23.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '10.246.64.0/23', 'lengthRange': '23-23'}, {'action': 'PERMIT', 'ipWildcard': '172.22.0.0/19', 'lengthRange': '19-19'}]}",['mcor-001b.ycg0'],"[['lines=lengthRange', '19-19']]",Needs inspection
['INFRA-DNA4'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '10.242.0.0/15', 'lengthRange': '15-15'}]}",['fwl-001b.ycg0.service-now.com'],"[['lines=lengthRange', '15-15']]",Needs inspection
['DNA4-MGMT'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '10.246.0.0/15', 'lengthRange': '15-15'}, {'action': 'PERMIT', 'ipWildcard': '172.16.0.0/12', 'lengthRange': '12-12'}]}",['bor-001b.ycg0'],"[['lines=lengthRange', '15-15']]",Needs inspection
