acl_name,conformer_definition,nodes,deviant_properties,flag
['acl-net-f5-admin-net-admin-syslog-tcp-syslog'],"{'lines': [{'action': 'PERMIT', 'matchCondition': {'class': 'org.batfish.datamodel.acl.AndMatchExpr', 'conjuncts': [{'class': 'org.batfish.datamodel.acl.MatchHeaderSpace', 'headerSpace': {'dstIps': {'class': 'org.batfish.datamodel.IpSpaceReference', 'description': ""Match network object-group: 'net-syslog'"", 'name': 'net-syslog'}, 'negate': False, 'srcIps': {'class': 'org.batfish.datamodel.IpSpaceReference', 'description': ""Match network object-group: 'net-f5-admin'"", 'name': 'net-f5-admin'}}}, {'aclName': '~SERVICE_OBJECT_GROUP~tcp-syslog~', 'class': 'org.batfish.datamodel.acl.PermittedByAcl', 'defaultAccept': False, 'description': ""Match object-group: 'tcp-syslog'""}]}, 'name': 'permit object-group tcp-syslog object-group net-f5-admin object-group net-syslog'}], 'sourceName': 'acl-net-f5-admin-net-admin-syslog-tcp-syslog', 'sourceType': 'extended ipv4 access-list'}",['pa2-access-rtr1'],"[['lines=matchCondition=conjuncts=headerSpace=dstIps=description', ""Match network object-group: 'net-syslog'""], ['lines=matchCondition=conjuncts=headerSpace=dstIps=name', 'net-syslog'], ['lines=matchCondition=conjuncts=headerSpace=srcIps=description', ""Match network object-group: 'net-f5-admin'""], ['lines=matchCondition=conjuncts=headerSpace=srcIps=name', 'net-f5-admin']]",Needs inspection
['acl-net-admin-net-off-wan-rtr1-tcp-ssh'],"{'lines': [{'action': 'PERMIT', 'matchCondition': {'class': 'org.batfish.datamodel.acl.AndMatchExpr', 'conjuncts': [{'class': 'org.batfish.datamodel.acl.MatchHeaderSpace', 'headerSpace': {'dstIps': {'class': 'org.batfish.datamodel.IpSpaceReference', 'description': ""Match network object-group: 'net-off-wan-rtr1'"", 'name': 'net-off-wan-rtr1'}, 'negate': False, 'srcIps': {'class': 'org.batfish.datamodel.IpSpaceReference', 'description': ""Match network object-group: 'net-admin'"", 'name': 'net-admin'}}}, {'aclName': '~SERVICE_OBJECT_GROUP~tcp-ssh~', 'class': 'org.batfish.datamodel.acl.PermittedByAcl', 'defaultAccept': False, 'description': ""Match object-group: 'tcp-ssh'""}]}, 'name': 'permit object-group tcp-ssh object-group net-admin object-group net-off-wan-rtr1'}], 'sourceName': 'acl-net-admin-net-off-wan-rtr1-tcp-ssh', 'sourceType': 'extended ipv4 access-list'}",['pa2-access-rtr1'],"[['lines=matchCondition=conjuncts=headerSpace=dstIps=description', ""Match network object-group: 'net-off-wan-rtr1'""], ['lines=matchCondition=conjuncts=headerSpace=dstIps=name', 'net-off-wan-rtr1']]",Needs inspection
['acl-pa2-admin-to-pa3-admin'],"{'lines': [{'action': 'PERMIT', 'matchCondition': {'class': 'org.batfish.datamodel.acl.MatchHeaderSpace', 'headerSpace': {'dstIps': {'class': 'org.batfish.datamodel.IpSpaceReference', 'description': ""Match network object-group: 'net-admin'"", 'name': 'net-admin'}, 'negate': False, 'srcIps': {'class': 'org.batfish.datamodel.IpSpaceReference', 'description': ""Match network object-group: 'pa2-net-admin'"", 'name': 'pa2-net-admin'}}}, 'name': 'permit ip object-group pa2-net-admin object-group net-admin'}], 'sourceName': 'acl-pa2-admin-to-pa3-admin', 'sourceType': 'extended ipv4 access-list'}",['pa3-access-rtr1'],"[['lines=matchCondition=headerSpace=dstIps=class', 'org.batfish.datamodel.IpSpaceReference'], ['lines=matchCondition=headerSpace=srcIps=class', 'org.batfish.datamodel.IpSpaceReference']]",Needs inspection
['acl-pa3-admin-to-pa2-admin'],"{'lines': [{'action': 'PERMIT', 'matchCondition': {'class': 'org.batfish.datamodel.acl.MatchHeaderSpace', 'headerSpace': {'dstIps': {'class': 'org.batfish.datamodel.IpSpaceReference', 'description': ""Match network object-group: 'net-admin'"", 'name': 'net-admin'}, 'negate': False, 'srcIps': {'class': 'org.batfish.datamodel.IpSpaceReference', 'description': ""Match network object-group: 'pa3-net-admin'"", 'name': 'pa3-net-admin'}}}, 'name': 'permit ip object-group pa3-net-admin object-group net-admin'}], 'sourceName': 'acl-pa3-admin-to-pa2-admin', 'sourceType': 'extended ipv4 access-list'}",['pa2-access-rtr1'],"[['lines=matchCondition=headerSpace=dstIps=class', 'org.batfish.datamodel.IpSpaceReference'], ['lines=matchCondition=headerSpace=srcIps=class', 'org.batfish.datamodel.IpSpaceReference']]",Needs inspection
