acl_name,conformer_definition,nodes,deviant_properties,flag
['janest-to-ice-p1'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '172.28.118.240/30', 'lengthRange': '30-30'}]}",['chi-nsw-101b'],"[['lines=lengthRange', '30-30']]",Needs inspection
['janest-to-ice-p1'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '172.28.118.244/30', 'lengthRange': '30-30'}]}",['chi-nsw-202b'],"[['lines=lengthRange', '30-30']]",Needs inspection
"['eunetworks-to-janest', 'hk1-inet-to-hk1-wan', 'fen-inet-to-fen-wan', 'hkg-inet-to-hkg-wan', 'telstra-to-janest-p1', 'cogent-to-janest-ucast-p1', 'tot-inet-to-tot-wan', 'igm-inet-to-igm-wan', 'level3-to-janest-ucast-p1', 'ves-inet-to-ves-wan', 'lightpath-to-janest-ucast-p1']","{'lines': [{'action': 'PERMIT', 'ipWildcard': '0.0.0.0/0', 'lengthRange': '0-0'}]}",['ves-nsw-inet1'],"[['lines=lengthRange', '0-0']]",Needs inspection
['decix-to-janest-ucast-p1'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '0.0.0.0/0', 'lengthRange': '0-23'}]}",['igm-nsw-inet1'],"[['lines=lengthRange', '0-23']]",Needs inspection
['hurricane-to-janest-ucast-p1'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '0.0.0.0/0', 'lengthRange': '0-21'}]}",['igm-nsw-inet1'],"[['lines=lengthRange', '0-21']]",Needs inspection
['janest-to-cogentblackhole-p1'],"{'lines': [{'action': 'DENY', 'ipWildcard': '0.0.0.0/0', 'lengthRange': '0-32'}]}",['ves-nsw-inet1'],"[['lines=action', 'DENY'], ['lines=lengthRange', '0-32']]",Needs inspection
['janest-to-jpm-p1'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '169.116.109.226/31', 'lengthRange': '31-31'}]}",['ld4-nsw-core1'],"[['lines=lengthRange', '31-31']]",Needs inspection
['janest-to-jpm-p1'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '169.116.109.224/31', 'lengthRange': '31-31'}]}",['ld4-nsw-0220b'],"[['lines=lengthRange', '31-31']]",Needs inspection
['nasdaq-to-jx-p1'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '206.200.232.0/21', 'lengthRange': '21-21'}, {'action': 'PERMIT', 'ipWildcard': '206.200.20.0/23', 'lengthRange': '23-23'}]}",['eny4-nsw-exec1'],"[['lines=lengthRange', '21-21']]",Needs inspection
['nasdaq-ultra-to-janest-ucast-p1'],"{'lines': [{'action': 'PERMIT', 'ipWildcard': '206.200.212.0/23', 'lengthRange': '23-23'}, {'action': 'PERMIT', 'ipWildcard': '206.200.248.128/26', 'lengthRange': '26-26'}, {'action': 'PERMIT', 'ipWildcard': '206.200.110.0/23', 'lengthRange': '23-23'}, {'action': 'PERMIT', 'ipWildcard': '206.200.54.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '206.200.106.0/24', 'lengthRange': '24-24'}, {'action': 'PERMIT', 'ipWildcard': '206.200.224.0/21', 'lengthRange': '21-21'}]}",['car-nsw-626-27b'],"[['lines=lengthRange', '21-21']]",Needs inspection
