('2129', 0.09999999999999999)
('2205', 0.09999999999999999)
('coreb', 0.09999999999999999)
('2209', 0.09999999999999999)
('2126', 0.09999999999999999)
('2fl', 0.09999999999999999)
('intra-cabinet', 0.09999999999999999)
('1fl', 0.09999999999999999)
('av', 0.09999999999999998)
('corea', 0.09999999999999998)
